generation,hp,attack,defense,speed,special_attack,special_defense,base_stat_total,num_types,num_weaknesses,num_evolutions,is_non_evolving,is_dragon_type,is_psychic_type,is_fairy_type,is_fire_type,is_electric_type,is_legendary
0.375,0.2857142857142857,0.4838709677419355,0.3333333333333333,0.4838709677419355,0.4964539007092198,0.2857142857142857,0.6039603960396038,0.0,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.5,0.2612244897959184,0.5741935483870968,0.5599999999999999,0.0967741935483871,0.3120567375886525,0.4571428571428572,0.6217821782178217,1.0,0.6666666666666665,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.625,0.1306122448979592,0.3032258064516129,0.2755555555555555,0.2903225806451612,0.2056737588652482,0.1714285714285714,0.2594059405940593,1.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.375,0.163265306122449,0.4838709677419355,0.4,0.032258064516129,0.0,0.119047619047619,0.2277227722772276,0.0,0.4444444444444445,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.1020408163265306,0.2580645161290322,0.6888888888888889,0.4193548387096774,0.1418439716312056,0.119047619047619,0.4158415841584158,1.0,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.5,0.1428571428571428,0.1935483870967742,0.1999999999999999,0.1612903225806451,0.425531914893617,0.1428571428571428,0.2079207920792079,0.0,0.4444444444444445,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
1.0,0.4693877551020408,0.6129032258064516,0.3333333333333333,0.3225806451612903,0.5319148936170213,0.2619047619047619,0.6831683168316831,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.375,0.3306122448979592,0.5483870967741936,0.4488888888888889,0.464516129032258,0.851063829787234,0.4095238095238096,0.8415841584158414,1.0,0.4444444444444445,0.0,1.0,0.0,0.0,0.0,1.0,0.0,True
0.0,0.2448979591836735,0.4838709677419355,0.1999999999999999,0.1935483870967742,0.1773049645390071,0.0714285714285714,0.2574257425742574,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.2244897959183673,0.8064516129032259,0.2444444444444444,0.4516129032258065,0.4609929078014184,0.1904761904761905,0.5742574257425743,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
0.5,0.2244897959183673,0.7741935483870968,0.2444444444444444,0.6451612903225806,0.6028368794326241,0.1904761904761905,0.6633663366336633,0.0,0.2222222222222222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.2244897959183673,0.5483870967741936,0.1999999999999999,0.3225806451612903,0.5319148936170213,0.119047619047619,0.4257425742574257,1.0,0.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.1020408163265306,0.3806451612903225,0.3555555555555555,0.1741935483870967,0.4539007092198581,0.1666666666666666,0.3366336633663366,0.0,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.875,0.326530612244898,0.6129032258064516,0.3777777777777778,0.3225806451612903,0.5673758865248227,0.2857142857142857,0.6534653465346534,1.0,0.4444444444444445,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
0.25,0.2448979591836735,0.4193548387096774,0.2888888888888889,0.4193548387096774,0.425531914893617,0.2380952380952381,0.4851485148514851,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.1224489795918367,0.1935483870967742,0.1111111111111111,0.6451612903225806,0.7801418439716312,0.2380952380952381,0.4455445544554455,0.0,0.2222222222222222,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.125,0.3469387755102041,0.4838709677419355,0.4444444444444445,0.6129032258064516,0.2127659574468084,0.2380952380952381,0.6237623762376237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
0.0,0.2244897959183673,0.7741935483870968,0.4222222222222222,0.5161290322580645,0.3191489361702128,0.2380952380952381,0.6435643564356435,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.2653061224489796,0.7741935483870968,0.4222222222222222,0.2580645161290322,0.425531914893617,0.2857142857142857,0.6336633663366336,1.0,0.7777777777777777,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
0.5,0.2244897959183673,0.2258064516129032,0.1999999999999999,0.1612903225806451,0.8156028368794326,0.1904761904761905,0.3861386138613861,0.0,0.2222222222222222,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0.0,0.2857142857142857,0.6451612903225806,0.2666666666666666,0.8064516129032259,0.3546099290780142,0.2619047619047619,0.6732673267326732,1.0,0.7777777777777777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
